id,start,end,hypothesis,inspiration,change,training_data,synthetic,evaluation,oracle_wer,actual_wer,rel_improvement_vs_A0,safety,latency,result,decision,notes
E00,02:58,03:02,Deployment can be checkpointed losslessly,n/a,checkpoint+manifests,n/a,n/a,checksum verify,,,,,,done,proceed,1.9MB checkpoint; server stopped
E02,03:08,03:12,MBR/medoid selection over H1-H5 beats A0 without training and approaches D3,ROVER/MBR literature,select candidate minimizing expected WER to other hyps,none,none,dev 683 full,0.2132,0.3086,+2.8%,harms easy speakers (F03 +0.054),<1ms,partial: helps hard speakers only,keep medoid distance as ranker FEATURE not standalone,hypothesis half-confirmed
E03,03:05,,Full fine-tune of whisper-small.en on 4 train speakers (sentences+words ~2.5h) cuts held-out-speaker WER far below medium.en A0 per adaptation literature,arXiv:2606.31722 + CBA-Whisper,seq2seq FT,train speakers F03/M01/M02/M03 headMic audio real only,none,exp-1 speaker-disjoint split: val F01+M04 sentences; test F04+M05 sentences decoded ONCE at end,,,,,,running,,words included; dev-grade labels
E03a,03:05,03:55,whisper-small FT concurrent with ct2 decoding,arXiv:2606.31722,seq2seq FT,4 train speakers audio,none,exp-1 split,,,,,,INFRA FAILURE: process starved (43MB RSS 15% CPU) by concurrent ct2 decode; not a science failure,relaunch alone after E01,one relaunch allowed per runaway rules
E01,03:01,~04:35,Fixed union of beam24+sampling+turbo pushes oracle well below 0.21,HyPoradise-style dedupe,candidate pool expansion,none,none,dev 683,P0 0.2110 / P1 0.1838 / P2 0.1753 / P3 pending turbo,,,,~3-5s/clip extra decode,STRONG: oracle -0.036 from wider decode alone,proceed to ranking with expanded pool,C3 in flight
E03b,04:35,05:02,whisper-small FT alone on MPS,arXiv:2606.31722,rerun of E03,same,none,same,,,,,,INFRA FAILURE 2: ~75s/step even unconstrained (MPS fp32 seq2seq); epoch~4h infeasible tonight,BRANCH CLOSED: Family F needs a cloud GPU; literature strongly supports it as next step,unadapted small.en val WER 0.951 recorded
E01b,04:35,05:01,turbo adds diverse candidates,multi-model union,pool P3,none,none,dev 683,P3 ORACLE 0.1531 (n=16.3; ref-in-list 56.7%),,,,,EXCELLENT: pool ceiling reaches the 15% target,rank over P3,oracle gain vs frozen +0.058
E05,05:04,,Small listwise ranker + LM/acoustic/consensus evidence over P3 captures far more headroom than D3 (31%),ICLR24 acoustic fusion + survey,nested-LOSO MLP ranker,real train folds (+synthetic variant),fold-safe pseudo-lists,dev 683 nested LOSO,0.1531 (P3),,,,,running,,three variants: frozen-pool / P3 / P3+synth
E06,05:52,,Teacher-forced medium.en per-token NLL is a unified acoustic score across the union pool; argmin(+conservative A0 anchor) captures much more oracle headroom,ICLR24 acoustic fusion; standard AM rescoring,HF whisper-medium.en teacher-forced scoring of every P3 candidate,none,none,dev 683,0.1644 (P3 cap24),,,,~0.3s/cand MPS,running,,resumable cache; last major experiment of the night
E07,06:38,,Corrected sum-NLL medium.en feature added to ranker lifts capture on frozen and/or P3 pool,AM-rescoring standard,+2 features,real folds,none,dev 683 nested LOSO,,,,,,running,,final experiment of the night
E05a,05:04,05:42,ranker on frozen pool with new evidence features,survey/ICLR24,14-feature listwise MLP nested LOSO,real folds,none,dev 683,0.2110,0.2849,+10.3%,per-speaker sane; hard speakers improve,<1ms,matches D2/D3 exactly — new cheap evidence adds nothing on small pool,keep as reference,
E05b,05:04,05:42,same ranker scales to P3 pool,same,P3 pool cap24,real folds,none,dev 683,0.1644,0.2897,+8.8%,M03 badly hurt (0.024->0.100),<1ms,NEGATIVE: bigger pool worsens actual ranking; discrimination is the bottleneck,do not deploy,
E05c,05:04,05:42,synthetic pseudo-lists help ranker,GenSEC-style,P3+synth v1,real+synth,1030-1139 lists/fold,dev 683,0.1644,0.3175,0%,degenerate never-switch,<1ms,NEGATIVE: synth v1 lacks true-A0 concept; ranker collapsed,synth recipe needs redesign (real A0 anchor),honest negative
E06,05:52,06:35,teacher-forced medium.en NLL ranks pool,AM rescoring,HF medium.en fp16 scoring 877 clips,none,none,dev 683,0.1644,mean-NLL 1.54 (pathological) / sum-NLL argmin 0.2938 / anchored 0.3005,-7% best,anchored +31/-12,0.3s/cand,PARTIAL: mean-NLL confounded (length/specials); sum-NLL is real signal but below D2 standalone,use as ranker feature (E07),fp16+label-handling caveat recorded
E07,06:38,06:58,corrected wmed sum-NLL feature lifts ranker,AM rescoring,+2 features on 14,real folds,none,dev 683 nested LOSO,frozen 0.2110 / P3 0.1644,frozenW 0.2760 / p3W 0.2922,frozenW +13.1% vs A0,pres 99.27% LOW ok unseen IMPROVED 0% unsupported,+~1s/utt for scoring 5 cands,BEST SAFE RESULT OF PROJECT (frozen pool); P3 still unrankable,freeze as OVERNIGHT_RESEARCH_CANDIDATE,capture 39% vs D3 31%
D5,10:45,10:48,hierarchical shortlisting converts P3 oracle headroom into material WER gain,overnight E01/E07 findings,S3 shortlist (A0+top3 acoustic+1 diversity) + 16-feat ranker,real folds,none,dev 683 nested LOSO,S3 shortlist oracle 0.1905 (P3 full 0.1644),0.2760,+13.1% vs A0,pres 97.8% prec 61% 90/32,8 min wall clock total,UNSUCCESSFUL vs its own bar (needed <=0.250; equals D4-dev WER with slightly worse safety),recommendation A: ignore D5; D4-dev remains the saved candidate,discrimination not headroom is the wall
